booking_number,name,closest_name
093400039878,YAMAHA DE MEXICO S.A.,Truper S.A. DE C.V.
149307772829,PT.YAMAHA ELECTRONICS MANUFACTURING,CIE Manufacturing
149400427010,YAMAHA CORPORATION,Yamaha Corporation
145499001182,SUNSET WEST,North West Grains
010400158785,YAMAHA CORPORATION,Yamaha Corporation
080400089997,YAMAHA CORPORATION,Yamaha Corporation
080300570073,YAMAHA CANADA MUSIC LTD.,Yamaha Motor Co. LTD
235400068636,HOOKER FURNITURE,Furniture Values International LLC
149400808463,HOOKER FURNITURE CORPORATION,AISIN CORPORATION
080400012463,YAMAHA CANADA MUSIC LTD. VANCOUVER,Yamaha Motor Co. LTD
142303079200,"YAMAHA MUSIC LATIN AMERICA,S.A.",Fr. Meyer's Sohn North America LLC
010400010460,YAMAHA ELECTRONICS MANUFACTURING(M),CIE Manufacturing
240400003077,HADDAD APPAREL,Comint Apparel
235301354134,HOOKER FURNITURE,Furniture Values International LLC
149400023164,YAMAHA CORPORATION,Yamaha Corporation
238400056382,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
149307618846,YAMAHA CORPORATION,Yamaha Corporation
093400026024,YAMAHA MUSIC & ELECTRONICS TAIWAN,Yamaha Corporation
142400363732,PT.YAMAHA ELECTRONICS MANUFACTURING,CIE Manufacturing
010301110920,PT.YAMAHA ELECTRONICS MFG. INDONESI,Yamaha Corporation
149400350238,YAMAHA DE MEXICO S.A.DE C.V.,Truper S.A. DE C.V.
080300597664,YAMAH,Sea Cargo s.r.o
149400076021,HOOKER FURNITURE CORPORATION,AISIN CORPORATION
145399012106,SUNSET WEST,North West Grains
149401082067,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
080300595157,YAMAHA CORPORATION JAPAN,Yamaha Corporation
093400038898,YAMAHA MUSIC & ELECTRONICS TAIWAN,Yamaha Corporation
093300387492,"YAMAHA MUSIC LATIN AMERICA, S.A.",Fr. Meyer's Sohn North America LLC
143451598360,"YAMAHA MUSIC AUSTRALIA PTY., LTD.",Manildra Flour Mills PTY LTD
130400012374,HADDAD APPAREL GROUP LTD,Lollytogs LTD DBA LT Apparel Group
238400063809,"HADDAD APPAREL GROUP, LTD",Lollytogs LTD DBA LT Apparel Group
145399012092,SUNSET WEST,North West Grains
093300387513,"YAMAHA MUSIC LATIN AMERICA, S.A.",Fr. Meyer's Sohn North America LLC
235301429517,HOOKER FURNITURE,Furniture Values International LLC
080300573472,YAMAHA MUSIC (MALAYSIA) SDN.BHD,Yamaha Corporation
147301284435,YAMAHA CORPORATION,Yamaha Corporation
080400030143,YAMAHA DE MEXICO S.A. DE C.V.,Truper S.A. DE C.V.
142303557454,"YAMAHA MUSIC LATIN AMERICA S.A.,",Fr. Meyer's Sohn North America LLC
081300269878,YAMAHA CORPORATION,Yamaha Corporation
142303060372,YAMAHA MUSIC (ASIA) PRIVATE LIMITED,Super Auto Forge Private Limited
